pk,model,vendor_id
1,facebook_feeds.facebook_feed,423544607732681
2,facebook_feeds.facebook_feed,237683826350051
3,facebook_feeds.facebook_feed,34775063966
4,facebook_feeds.facebook_feed,37665519437
5,facebook_feeds.facebook_feed,112791015410812
6,facebook_feeds.facebook_feed,118410851589072
7,facebook_feeds.facebook_feed,335399036546914
8,facebook_feeds.facebook_feed,230709873674802
9,facebook_feeds.facebook_feed,128211737213526
10,facebook_feeds.facebook_feed,213793465311034
11,facebook_feeds.facebook_feed,285742004879697
12,facebook_feeds.facebook_feed,161648040544835
13,facebook_feeds.facebook_feed,294986783934161
14,facebook_feeds.facebook_feed,107836625941364
15,facebook_feeds.facebook_feed,310448006908
16,facebook_feeds.facebook_feed,616484361701607
17,facebook_feeds.facebook_feed,295104730523499
18,facebook_feeds.facebook_feed,297207456997968
19,facebook_feeds.facebook_feed,457794627605948
20,facebook_feeds.facebook_feed,396697410351933
21,facebook_feeds.facebook_feed,142479632494944
22,facebook_feeds.facebook_feed,115028251920872
23,facebook_feeds.facebook_feed,129931940492158
24,facebook_feeds.facebook_feed,66398526339
25,facebook_feeds.facebook_feed,371426819606751
26,facebook_feeds.facebook_feed,174411199282819
27,facebook_feeds.facebook_feed,336333819807014
28,facebook_feeds.facebook_feed,432953930099972
29,facebook_feeds.facebook_feed,612784452070209
30,facebook_feeds.facebook_feed,268108602075
31,facebook_feeds.facebook_feed,402936269773132
32,facebook_feeds.facebook_feed,102997256411052
33,facebook_feeds.facebook_feed,256097767800645
34,facebook_feeds.facebook_feed,318718848205174
35,facebook_feeds.facebook_feed,302282753147898
36,facebook_feeds.facebook_feed,270537533068364
37,facebook_feeds.facebook_feed,408819395854150
38,facebook_feeds.facebook_feed,212884635505254
39,facebook_feeds.facebook_feed,429433447128257
40,facebook_feeds.facebook_feed,154570404606299
41,facebook_feeds.facebook_feed,281431865311442
42,facebook_feeds.facebook_feed,369855119713388
43,facebook_feeds.facebook_feed,167657276622943
44,facebook_feeds.facebook_feed,128834187134576
45,facebook_feeds.facebook_feed,386001744772337
46,facebook_feeds.facebook_feed,520086018021432
47,facebook_feeds.facebook_feed,123439757700947
48,facebook_feeds.facebook_feed,371855757456
49,facebook_feeds.facebook_feed,156632191145120
50,facebook_feeds.facebook_feed,207139259326193
51,facebook_feeds.facebook_feed,162319074217
52,facebook_feeds.facebook_feed,178433145502975
53,facebook_feeds.facebook_feed,433095953410548
54,facebook_feeds.facebook_feed,201172239926506
55,facebook_feeds.facebook_feed,454865187905717
56,facebook_feeds.facebook_feed,507647555954176
57,facebook_feeds.facebook_feed,212853068767680
58,facebook_feeds.facebook_feed,394242203948130
59,facebook_feeds.facebook_feed,503855396298871
60,facebook_feeds.facebook_feed,404314496289809
61,facebook_feeds.facebook_feed,291524437542463
62,facebook_feeds.facebook_feed,408265492578926
63,facebook_feeds.facebook_feed,270198837993
64,facebook_feeds.facebook_feed,127130297401833
65,facebook_feeds.facebook_feed,100004832803978
66,facebook_feeds.facebook_feed,100000237185239
67,facebook_feeds.facebook_feed,720627860
68,facebook_feeds.facebook_feed,508516607
69,facebook_feeds.facebook_feed,574847197
70,facebook_feeds.facebook_feed,781279420
